,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,region_x,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,region
10,ap-northeast-1a,1.5,100,485.009519618,2.05108535988,24.1923222352,53625.6471356,488.088249653,106591.287872,48614.8851803,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
11,ap-northeast-1a,2.0,100,485.000161041,2.04112942713,24.191877156,53584.5492084,488.077804677,106547.638125,48612.3333605,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
12,ap-northeast-1a,2.5,100,484.582350204,2.03370328056,24.1710184405,53539.0315815,487.658701984,106489.858624,48600.0714869,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
13,ap-northeast-1a,3.0,100,914.408073837,0.812877427779,45.6898220042,49275.1715358,917.283680159,56881.2036542,3255.27656276,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
14,ap-northeast-1a,3.5,100,914.408073837,0.812877427779,45.6898220042,49275.1715358,917.283680159,56881.2036542,3255.27656276,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
15,ap-northeast-1a,4.0,100,914.408073837,0.812877427779,45.6898220042,49275.1715358,917.283680159,56881.2036542,3255.27656276,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
16,ap-northeast-1a,4.5,100,989.946068756,0.0,49.4693034378,47880.0,992.775746969,52230.7555556,0.0,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
17,ap-northeast-1a,5.0,100,989.946068756,0.0,49.4693034378,47880.0,992.775746969,52230.7555556,0.0,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,3880.0,0.00185,0.000472598173516,1.36032259817,776.0,1.358,1.46935561644,988.422708311,47880.0,991.252386525,52230.7555556,0,18,315.555555556,572.628,0.0,28.6034,47880.0,575.457678215,52230.7555556,0.0,Asia Pacific
18,ap-northeast-1a,1.0,200,703.676303791,2.04107083472,35.1080275274,78843.7767709,708.821498486,141871.1729,54325.8850183,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,7760.0,0.0037,0.00189039269406,2.72159039269,1552.0,2.716,2.10785424658,1412.07244044,71820.0,1416.90188508,80521.5111111,0,18,631.111111111,818.08,0.0,40.862,71820.0,822.909444639,80521.5111111,0.0,Asia Pacific
19,ap-northeast-1a,1.5,200,703.855122215,2.03408713003,35.116986573,78824.277436,708.999635341,141838.200835,54312.412288,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,7760.0,0.0037,0.00189039269406,2.72159039269,1552.0,2.716,2.10785424658,1412.07244044,71820.0,1416.90188508,80521.5111111,0,18,631.111111111,818.08,0.0,40.862,71820.0,822.909444639,80521.5111111,0.0,Asia Pacific
20,ap-northeast-1a,2.0,200,703.874359495,2.01895576987,35.1179833555,78761.3298138,709.016865963,141771.376425,54308.5355005,Asia Pacific,20,0.0071,c3.8xlarge,4,0.097,0.097,3.52808110111,23940.0,Linux/UNIX,7760.0,0.0037,0.00189039269406,2.72159039269,1552.0,2.716,2.10785424658,1412.07244044,71820.0,1416.90188508,80521.5111111,0,18,631.111111111,818.08,0.0,40.862,71820.0,822.909444639,80521.5111111,0.0,Asia Pacific
