,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,region_x,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,region
0,ap-northeast-1a,1.0,50,86.0803548061,1.47425452175,12.1832393083,28393.6319863,89.1855411571,77122.2356563,39474.8258921,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
1,ap-northeast-1a,1.5,50,86.0928477831,1.47115854652,12.185048694,28384.5712889,89.1979187725,77106.6620047,39468.3129379,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
2,ap-northeast-1a,2.0,50,86.0578524597,1.46610721851,12.1800819513,28364.0976047,89.1626585318,77084.8920845,39467.016702,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
3,ap-northeast-1a,2.5,50,85.9768512702,1.46276682418,12.1685462009,28341.9427245,89.0813679021,77061.9887115,39466.2682092,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
4,ap-northeast-1a,3.0,50,160.321045587,0.554668404758,22.8527437038,25513.4916898,163.30190985,36780.0850941,2012.81562653,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
5,ap-northeast-1a,3.5,50,160.321045587,0.554668404758,22.8527437038,25513.4916898,163.30190985,36780.0850941,2012.81562653,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
6,ap-northeast-1a,4.0,50,160.321045587,0.554668404758,22.8527437038,25513.4916898,163.30190985,36780.0850941,2012.81562653,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
7,ap-northeast-1a,4.5,50,173.729935848,0.0,24.7728479782,24624.0,176.695138312,33877.7777778,0.0,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
8,ap-northeast-1a,5.0,50,173.729935848,0.0,24.7728479782,24624.0,176.695138312,33877.7777778,0.0,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,7580.0,0.000925,0.00180371118721,2.65572871119,1516.0,2.653,0.309473753425,173.195973954,24624.0,176.161176419,33877.7777778,0,18,157.777777778,100.4319,0,14.3017,24624.0,103.397102465,33877.7777778,0.0,Asia Pacific
9,ap-northeast-1a,1.0,100,159.186582248,1.47425452175,12.1832393083,28393.6319863,165.254182734,86376.0134341,39474.8258921,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,321.375380201,24624.0,327.231432662,43131.5555556,0,18,315.555555556,186.2421,0,14.3017,24624.0,192.098152461,43131.5555556,0.0,Asia Pacific
10,ap-northeast-1a,1.5,100,159.20992828,1.47115854652,12.185048694,28384.5712889,165.277331801,86360.4397825,39468.3129379,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,321.375380201,24624.0,327.231432662,43131.5555556,0,18,315.555555556,186.2421,0,14.3017,24624.0,192.098152461,43131.5555556,0.0,Asia Pacific
11,ap-northeast-1a,2.0,100,159.145109688,1.46610721851,12.1800819513,28364.0976047,165.212038705,86338.6698623,39467.016702,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,321.375380201,24624.0,327.231432662,43131.5555556,0,18,315.555555556,186.2421,0,14.3017,24624.0,192.098152461,43131.5555556,0.0,Asia Pacific
12,ap-northeast-1a,2.5,100,158.994871184,1.46276682418,12.1685462009,28341.9427245,165.06128256,86315.7664894,39466.2682092,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,321.375380201,24624.0,327.231432662,43131.5555556,0,18,315.555555556,186.2421,0,14.3017,24624.0,192.098152461,43131.5555556,0.0,Asia Pacific
13,ap-northeast-1a,3.0,100,297.43838446,0.554668404758,22.8527437038,25513.4916898,303.320417732,46033.8628719,2012.81562653,Asia Pacific,20,0.0071,c3.8xlarge,8,0.379,0.379,3.52808110111,24624.0,Linux/UNIX,15160.0,0.00185,0.00721484474886,5.31506484475,3032.0,5.306,0.540987616438,321.375380201,24624.0,327.231432662,43131.5555556,0,18,315.555555556,186.2421,0,14.3017,24624.0,192.098152461,43131.5555556,0.0,Asia Pacific
