,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,on_demand_price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,on_demand_instance_cost,static_run_time,on_demand_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
19,ap-southeast-1a,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.117,23940.0,Linux/UNIX,19400.0,0.01,0.0107408675799,5.84074086758,3880.0,5.82,4.96156931507,1991.9,167580.0,2002.70231018,188712.977778,0,18,1577.77777778
20,ap-southeast-1a,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.117,23940.0,Linux/UNIX,38800.0,0.02,0.0429634703196,11.7029634703,7760.0,11.64,9.22975561644,3687.1,311220.0,3708.03271909,353485.955556,0,18,3155.55555556
21,ap-southeast-1a,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.117,23940.0,Linux/UNIX,77600.0,0.04,0.171853881279,23.4918538813,15520.0,23.28,17.9147243836,7077.54,598500.0,7118.94657826,683031.911111,0,18,6311.11111111
22,ap-southeast-1a,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.117,23940.0,Linux/UNIX,194000.0,0.1,1.07408675799,59.374086758,38800.0,58.2,46.4321490411,17757.42,1508220.0,17863.2262358,1718308.17778,0,18,15777.7777778
23,ap-southeast-1a,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.117,23940.0,Linux/UNIX,388000.0,0.2,4.29634703196,120.896347032,77600.0,116.4,97.0959715068,35260.52,2992500.0,35478.5123185,3412676.35556,0,18,31555.5555556
24,ap-southeast-1b,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.117,23940.0,Linux/UNIX,1940.0,0.001,0.000107408675799,0.583107408676,388.0,0.582,0.489500219178,192.927,23940.0,193.999607628,26425.7777778,0,18,157.777777778
25,ap-southeast-1b,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.117,23940.0,Linux/UNIX,3880.0,0.002,0.000429634703196,1.1664296347,776.0,1.164,1.46935561644,593.32,47880.0,595.955785251,52230.7555556,0,18,315.555555556
26,ap-southeast-1b,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.117,23940.0,Linux/UNIX,7760.0,0.004,0.00171853881279,2.33371853881,1552.0,2.328,2.10785424658,847.64,71820.0,852.081572785,80521.5111111,0,18,631.111111111
27,ap-southeast-1b,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.117,23940.0,Linux/UNIX,19400.0,0.01,0.0107408675799,5.84074086758,3880.0,5.82,4.96156931507,1991.9,167580.0,2002.70231018,188712.977778,0,18,1577.77777778
28,ap-southeast-1b,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.117,23940.0,Linux/UNIX,38800.0,0.02,0.0429634703196,11.7029634703,7760.0,11.64,9.22975561644,3687.1,311220.0,3708.03271909,353485.955556,0,18,3155.55555556
