,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
33,ap-southeast-2a,20,0.055,c3.8xlarge,3,100,2.3,2.3,2.117,1980.0,Linux/UNIX,92000.0,0.0022,0.265707762557,32.4679077626,18400.0,32.2,0.396904109589,84.96,3960.0,117.824811872,114824.444444,0,18,2444.44444444
34,ap-southeast-2a,20,0.055,c3.8xlarge,3,200,2.3,2.3,2.117,1980.0,Linux/UNIX,184000.0,0.0044,1.06283105023,65.4672310502,36800.0,64.4,0.678410958904,127.54,7920.0,193.685642009,227668.888889,0,18,4888.88888889
35,ap-southeast-2a,20,0.055,c3.8xlarge,3,500,2.3,2.3,2.117,1980.0,Linux/UNIX,460000.0,0.011,6.64269406393,167.653694064,92000.0,161.0,1.45726027397,212.9,17820.0,382.010954338,566202.222222,0,18,12222.2222222
36,ap-southeast-2a,20,0.055,c3.8xlarge,3,1000,2.3,2.3,2.117,1980.0,Linux/UNIX,920000.0,0.022,26.5707762557,348.592776256,184000.0,322.0,3.14909589041,425.76,33660.0,777.501872146,1130424.44444,0,18,24444.4444444
37,ap-southeast-2a,20,0.055,c3.8xlarge,3,2000,2.3,2.3,2.117,1980.0,Linux/UNIX,1840000.0,0.044,106.283105023,750.327105023,368000.0,644.0,7.22071232877,809.14,67320.0,1566.68781735,2258868.88889,0,18,48888.8888889
38,ap-southeast-2a,20,0.055,c3.8xlarge,3,5000,2.3,2.3,2.117,1980.0,Linux/UNIX,4600000.0,0.11,664.269406393,2274.37940639,920000.0,1610.0,25.8267945205,2001.62,166320.0,4301.82620091,5644202.22222,0,18,122222.222222
39,ap-southeast-2a,20,0.055,c3.8xlarge,3,10000,2.3,2.3,2.117,1980.0,Linux/UNIX,9200000.0,0.22,2657.07762557,5877.29762557,1840000.0,3220.0,77.5298630137,3918.48,330660.0,9873.30748858,11286424.4444,0,18,244444.444444
40,ap-southeast-2b,20,0.055,c3.8xlarge,3,50,2.3,2.3,2.117,1980.0,Linux/UNIX,46000.0,0.0011,0.0664269406393,16.1675269406,9200.0,16.1,0.182498630137,36.149,1980.0,52.4990255708,58402.2222222,0,18,1222.22222222
41,ap-southeast-2b,20,0.055,c3.8xlarge,3,100,2.3,2.3,2.117,1980.0,Linux/UNIX,92000.0,0.0022,0.265707762557,32.4679077626,18400.0,32.2,0.396904109589,84.96,3960.0,117.824811872,114824.444444,0,18,2444.44444444
42,ap-southeast-2b,20,0.055,c3.8xlarge,3,200,2.3,2.3,2.117,1980.0,Linux/UNIX,184000.0,0.0044,1.06283105023,65.4672310502,36800.0,64.4,0.678410958904,127.54,7920.0,193.685642009,227668.888889,0,18,4888.88888889
43,ap-southeast-2b,20,0.055,c3.8xlarge,3,500,2.3,2.3,2.117,1980.0,Linux/UNIX,460000.0,0.011,6.64269406393,167.653694064,92000.0,161.0,1.45726027397,212.9,17820.0,382.010954338,566202.222222,0,18,12222.2222222
44,ap-southeast-2b,20,0.055,c3.8xlarge,3,1000,2.3,2.3,2.117,1980.0,Linux/UNIX,920000.0,0.022,26.5707762557,348.592776256,184000.0,322.0,3.14909589041,425.76,33660.0,777.501872146,1130424.44444,0,18,24444.4444444
45,ap-southeast-2b,20,0.055,c3.8xlarge,3,2000,2.3,2.3,2.117,1980.0,Linux/UNIX,1840000.0,0.044,106.283105023,750.327105023,368000.0,644.0,7.22071232877,809.14,67320.0,1566.68781735,2258868.88889,0,18,48888.8888889
46,ap-southeast-2b,20,0.055,c3.8xlarge,3,5000,2.3,2.3,2.117,1980.0,Linux/UNIX,4600000.0,0.11,664.269406393,2274.37940639,920000.0,1610.0,25.8267945205,2001.62,166320.0,4301.82620091,5644202.22222,0,18,122222.222222
47,ap-southeast-2b,20,0.055,c3.8xlarge,3,10000,2.3,2.3,2.117,1980.0,Linux/UNIX,9200000.0,0.22,2657.07762557,5877.29762557,1840000.0,3220.0,77.5298630137,3918.48,330660.0,9873.30748858,11286424.4444,0,18,244444.444444
48,eu-central-1a,20,0.055,c3.8xlarge,3,50,2.3,2.3,2.064,1980.0,Linux/UNIX,46000.0,0.001075,0.0652191780822,10.4162941781,9200.0,10.35,0.180977808219,35.208,1980.0,45.8052719863,58402.2222222,0,18,1222.22222222
49,eu-central-1a,20,0.055,c3.8xlarge,3,100,2.3,2.3,2.064,1980.0,Linux/UNIX,92000.0,0.00215,0.260876712329,20.9630267123,18400.0,20.7,0.393596575342,82.77,3960.0,104.126623288,114824.444444,0,18,2444.44444444
50,eu-central-1a,20,0.055,c3.8xlarge,3,200,2.3,2.3,2.064,1980.0,Linux/UNIX,184000.0,0.0043,1.04350684932,42.4478068493,36800.0,41.4,0.672757534247,124.23,7920.0,167.350564384,227668.888889,0,18,4888.88888889
51,eu-central-1a,20,0.055,c3.8xlarge,3,500,2.3,2.3,2.064,1980.0,Linux/UNIX,460000.0,0.01075,6.52191780822,110.032667808,92000.0,103.5,1.44511643836,207.3,17820.0,318.777784247,566202.222222,0,18,12222.2222222
52,eu-central-1a,20,0.055,c3.8xlarge,3,1000,2.3,2.3,2.064,1980.0,Linux/UNIX,920000.0,0.0215,26.0876712329,233.109171233,184000.0,207.0,3.12285342466,414.57,33660.0,650.802024658,1130424.44444,0,18,24444.4444444
53,eu-central-1a,20,0.055,c3.8xlarge,3,2000,2.3,2.3,2.064,1980.0,Linux/UNIX,1840000.0,0.043,104.350684932,518.393684932,368000.0,414.0,7.16053972603,787.83,67320.0,1313.38422466,2258868.88889,0,18,48888.8888889
54,eu-central-1a,20,0.055,c3.8xlarge,3,5000,2.3,2.3,2.064,1980.0,Linux/UNIX,4600000.0,0.1075,652.191780822,1687.29928082,920000.0,1035.0,25.6115712329,1948.89,166320.0,3661.80085205,5644202.22222,0,18,122222.222222
55,eu-central-1a,20,0.055,c3.8xlarge,3,10000,2.3,2.3,2.064,1980.0,Linux/UNIX,9200000.0,0.215,2608.76712329,4678.98212329,1840000.0,2070.0,76.8837808219,3815.16,330660.0,8571.02590411,11286424.4444,0,18,244444.444444
56,eu-central-1b,20,0.055,c3.8xlarge,3,50,2.3,2.3,2.064,1980.0,Linux/UNIX,46000.0,0.001075,0.0652191780822,10.4162941781,9200.0,10.35,0.180977808219,35.208,1980.0,45.8052719863,58402.2222222,0,18,1222.22222222
57,eu-central-1b,20,0.055,c3.8xlarge,3,100,2.3,2.3,2.064,1980.0,Linux/UNIX,92000.0,0.00215,0.260876712329,20.9630267123,18400.0,20.7,0.393596575342,82.77,3960.0,104.126623288,114824.444444,0,18,2444.44444444
58,eu-central-1b,20,0.055,c3.8xlarge,3,200,2.3,2.3,2.064,1980.0,Linux/UNIX,184000.0,0.0043,1.04350684932,42.4478068493,36800.0,41.4,0.672757534247,124.23,7920.0,167.350564384,227668.888889,0,18,4888.88888889
